time	Channel1	Channel2
-0.0009144	0.6369333	-0.0024
-0.0009142	0.6393332	-0.001866666
-0.000914	0.6398666	-0.0016
-0.0009138	0.6414666	-0.002133333
-0.0009136	0.6433333	-0.001333333
-0.0009134	0.6446666	-0.001866666
-0.0009132000000000001	0.6458666	-0.001066667
-0.000913	0.6479999	-0.001333333
-0.0009128000000000001	0.6493333	-0.0032
-0.0009126000000000001	0.6493333	-0.0016
-0.0009124000000000001	0.6522666	-0.0007999999
-0.0009122000000000001	0.6539999	-0.001333333
-0.000912	0.6539999	-0.0024
-0.0009118	0.6564	-0.001333333
-0.0009116	0.6564	-0.002133333
-0.0009114	0.6582666	-0.001866666
-0.0009112	0.6598666	-0.002133333
-0.000911	0.6621333	-0.0024
-0.0009108	0.6634666	-0.002666666
-0.0009106	0.6634666	-0.001866666
-0.0009104	0.6664	-0.002133333
-0.0009102	0.6674666	-0.003733333
-0.00091	0.6685333	-0.003466666
-0.0009098	0.6705332	-0.0024
-0.0009096	0.6718666	-0.0016
-0.0009094	0.6737333	-0.001866666
-0.0009092	0.6739999	-0.001866666
-0.0009090000000000001	0.6758666	-0.0024
-0.0009088	0.6769333	-0.002666666
-0.0009086000000000001	0.6781332	-0.001866666
-0.0009084000000000001	0.6799999	-0.0005333333
-0.0009082000000000001	0.6808	-0.002133333
-0.0009080000000000001	0.6823999	-0.003733333
-0.0009078000000000001	0.6845332	-0.0016
-0.0009076	0.6853333	-0.001066667
-0.0009074	0.6862666	-0.0024
-0.0009072	0.6886666	-0.002933333
-0.000907	0.6886666	-0.0024
-0.0009068	0.6921332	-0.002133333
-0.0009066	0.6929333	-0.001066667
-0.0009064	0.6944	-0.002133333
-0.0009062	0.6962666	-0.001866666
-0.000906	0.6965333	-0.001866666
-0.0009058	0.6986666	-0.001333333
-0.0009056	0.6986666	-0.002133333
-0.0009054	0.7007999	-0.0024
-0.0009052	0.7018666	-0.0024
-0.000905	0.7035999	-0.0024
-0.0009048	0.7043999	-0.0007999999
-0.0009046	0.7065333	-0.002933333
-0.0009044000000000001	0.7073333	-0.0024
-0.0009042	0.7097332	-0.002666666
-0.0009040000000000001	0.7106666	-0.0024
-0.0009038000000000001	0.7125332	-0.0016
-0.0009036000000000001	0.7135999	-0.0016
-0.0009034000000000001	0.7149333	-0.001066667
-0.0009032	0.7159999	-0.001066667
-0.000903	0.7178666	-0.0007999999
-0.0009028	0.7175999	-0.002133333
-0.0009026	0.7209333	-0.0032
-0.0009024	0.7206666	-0.002666666
-0.0009022	0.7228	-0.002666666
-0.000902	0.7251999	-0.0016
-0.0009018	0.7251999	0.0
-0.0009016	0.7271999	-0.001866666
-0.0009014	0.7277333	-0.0032
-0.0009012	0.7293333	-0.002666666
-0.000901	0.7311999	-0.0024
-0.0009008	0.7311999	-0.0032
-0.0009006	0.7333333	-0.0024
-0.0009004	0.7347999	-0.001866666
-0.0009002	0.7366666	-0.001866666
-0.0009	0.7377332	-0.0005333333
-0.0008998000000000001	0.7395999	-0.002933333
-0.0008996	0.7404	-0.002666666
-0.0008994000000000001	0.7422666	-0.001866666
-0.0008992000000000001	0.7458666	-0.0024
-0.0008990000000000001	0.7450666	-0.001333333
-0.0008988000000000001	0.7455999	-0.002666666
-0.0008986	0.7477332	-0.003466666
-0.0008984	0.7485332	-0.0016
-0.0008982	0.7506666	-0.0002666666
-0.000898	0.7526666	-0.001333333
-0.0008978	0.7534666	-0.0032
-0.0008976	0.7545332	-0.002933333
-0.0008974	0.7561333	-0.001066667
-0.0008972	0.7582666	-0.0016
-0.000897	0.7602666	-0.001866666
-0.0008968	0.7607999	-0.0024
-0.0008966	0.7623999	-0.002133333
-0.0008964	0.7637333	-0.003466666
-0.0008962	0.7648	-0.001333333
-0.000896	0.7663999	-0.002133333
-0.0008958	0.7675999	-0.0016
-0.0008956000000000001	0.7686666	-0.002133333
-0.0008954	0.7726666	-0.001866666
-0.0008952000000000001	0.7710666	-0.002666666
-0.0008950000000000001	0.7729332	-0.0016
-0.0008948000000000001	0.7739999	-0.002933333
-0.0008946000000000001	0.7757332	-0.0016
-0.0008944000000000001	0.7778666	-0.0032
-0.0008942	0.7802666	-0.0016
-0.000894	0.7805333	-0.001866666
-0.0008938	0.7807999	-0.0016
-0.0008936	0.7829332	-0.0024
-0.0008934	0.7854666	-0.002666666
-0.0008932	0.7867999	-0.0016
-0.000893	0.7883999	-0.0016
-0.0008928	0.7897332	-0.001866666
-0.0008926	0.7910666	-0.002933333
-0.0008924	0.7915999	-0.0016
-0.0008922	0.7930666	-0.002933333
