time	Channel1	Channel2
-0.0009608	0.3145333	-0.002133333
-0.0009606	0.3142666	-0.001866666
-0.0009604	0.3172	-0.003466666
-0.0009602	0.3166666	-0.004133333
-0.00096	0.3186666	-0.002666666
-0.0009598	0.3208	-0.0032
-0.0009596	0.3221333	-0.003466666
-0.0009594	0.3226666	-0.003466666
-0.0009592	0.3245333	-0.004133333
-0.000959	0.3258666	-0.0024
-0.0009588	0.3268	-0.0024
-0.0009586	0.3289333	-0.004133333
-0.0009584	0.3302666	-0.002933333
-0.0009582	0.3318666	-0.002666666
-0.000958	0.3334666	-0.003733333
-0.0009578	0.3342666	-0.0044
-0.0009576000000000001	0.3368	-0.003733333
-0.0009574000000000001	0.3378666	-0.0032
-0.0009572000000000001	0.3402666	-0.001866666
-0.0009570000000000001	0.3402666	-0.003466666
-0.0009568000000000001	0.3413333	-0.002666666
-0.0009566	0.3452	-0.002933333
-0.0009564	0.346	-0.002933333
-0.0009562	0.3476	-0.0032
-0.000956	0.3462666	-0.002933333
-0.0009558	0.35	-0.002133333
-0.0009556	0.352	-0.002933333
-0.0009554	0.3525333	-0.0044
-0.0009552	0.3530666	-0.002133333
-0.000955	0.3541333	-0.004133333
-0.0009548	0.356	-0.002933333
-0.0009546	0.3570666	-0.004133333
-0.0009544	0.3589333	-0.002666666
-0.0009542	0.3593333	-0.0032
-0.000954	0.3614666	-0.002133333
-0.0009538	0.3625333	-0.0032
-0.0009536	0.3638666	-0.0032
-0.0009534	0.3662666	-0.0032
-0.0009532	0.3674666	-0.001333333
-0.0009530000000000001	0.3685333	-0.004133333
-0.0009528000000000001	0.3690666	-0.003733333
-0.0009526000000000001	0.3714666	-0.002133333
-0.0009524000000000001	0.3719999	-0.0044
-0.0009522	0.3730666	-0.0016
-0.000952	0.3761333	-0.001866666
-0.0009518	0.3774666	-0.003733333
-0.0009516	0.3777333	-0.003733333
-0.0009514	0.3793333	-0.0016
-0.0009512	0.3806666	-0.0052
-0.000951	0.3814666	-0.0024
-0.0009508	0.3830666	-0.0032
-0.0009506	0.3845333	-0.002666666
-0.0009504	0.3866666	-0.002666666
-0.0009502	0.388	-0.002933333
-0.00095	0.3895999	-0.002133333
-0.0009498	0.3895999	-0.002933333
-0.0009496	0.3914666	-0.002933333
-0.0009494	0.3937333	-0.001066667
-0.0009492	0.3942666	-0.0024
-0.000949	0.3956	-0.003466666
-0.0009488000000000001	0.3985333	-0.0016
-0.0009486000000000001	0.3982666	-0.002133333
-0.0009484000000000001	0.398	-0.001866666
-0.0009482000000000001	0.4002666	-0.0032
-0.0009480000000000001	0.4018666	-0.0032
-0.0009478	0.4032	-0.0032
-0.0009476	0.4053333	-0.0016
-0.0009474	0.4077333	-0.0024
-0.0009472	0.4081333	-0.002133333
-0.000947	0.4089333	-0.004133333
-0.0009468	0.4110666	-0.0032
-0.0009466	0.4123999	-0.0032
